nombre,artista,album,url
she's all i wanna be,Tate McRae,i used to think i could fly,https://open.spotify.com/track/7l9IqDtVWJurTvkQHq1BGh
Crazy,One Zero,No Coincidence,https://open.spotify.com/track/7e6cYLjH4XJVaeEUOgLSat
In Another Life,"Sandro Silva, Julian, MVNA, Chris Crone",In Another Life,https://open.spotify.com/track/3JwC1i661J5GYRoPPZqpke
bad timing,Darko,bad timing,https://open.spotify.com/track/7fsaTxX5eNvJuMDUMZdDfj
I Wish You Were Mine,"Loving Caliber, Mia Niles",Circles,https://open.spotify.com/track/4SwZGwJIUM1l3o4ExTxWt1
When We Were Younger,Loving Caliber,When We Were Younger,https://open.spotify.com/track/0ztYbFRF52jFnlAiQxxA6y
Long Story Short,Forest Blakk,Long Story Short,https://open.spotify.com/track/5oZBQRkDntRkxssyD3V45Y
EMBERS,Tom Cooper,EMBERS,https://open.spotify.com/track/6EN8VbLSTYTUWgNBsjBtry
Missing You,Billi Royce,Missing You,https://open.spotify.com/track/2Mnx2JT5cRLdRPryOb0yl2
Nunca Me Fallas,J Arias,Nunca Me Fallas,https://open.spotify.com/track/0MpdsLhcyCVxNddszaFzJu
Nací Otra Vez,J Arias,Nací Otra Vez,https://open.spotify.com/track/0lnhH9lRqNrfePmoajzMKr
clovers,loya,clovers,https://open.spotify.com/track/4C49szf1WEb1owSK81sBKz
Old,Titus Haskins,Old,https://open.spotify.com/track/3LiGZRreBIUi07yccz89Xn
Why you don't Love me?,Mythic Melodys,Why you don't Love me?,https://open.spotify.com/track/5YQeQbWArt8JJPo4Icac9R
Broken Skies,Mythic Melodys,Broken Skies,https://open.spotify.com/track/3894EiD1sAh9QezKVvd5Vs
Backseat talks,"Jackson Gleaves, Rocky RoZay",Backseat talks,https://open.spotify.com/track/64z0CJoD5Ue93jjJtRY15u
Otherside,Jake Cornell,Otherside,https://open.spotify.com/track/42yI2K4eTaNv3uJzRPpA8w
be ok,"Ouse, Elijah Midjord",be ok,https://open.spotify.com/track/5eaSUngqrwtByxz3TideqC
Cheekbones,Arrows in Action,I Think I've Been Here Before,https://open.spotify.com/track/1kUhiah3NBVRdRPxWRDWFf
I'm Proud You Stayed,Isaac Mather,I'm Proud You Stayed,https://open.spotify.com/track/2pN0Zp4rLaGbekNh3MwCDM
Can't Help Falling in Love,Elvis Presley,Blue Hawaii,https://open.spotify.com/track/44AyOl4qVkzS48vBsbNXaC
Therapy,VOILÀ,Happy Never After,https://open.spotify.com/track/3UxXEGw1UDAL4KBooq2VxY
